,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,19.33,0.21,960.0,0.0577,0.0054,0.0468,0.0,1.627,0.01,94.0,0.5083,0.1564,0.232,0.0,2.354,0.06,72.0,0.1078,0.0,0.0838,0.0,37.719,0.06,2287.0,0.0582,0.0177,0.0337,0.0
204,6.871,0.02,289.0,0.2074,0.0118,0.1018,0.0,1.345,0.0,66.0,0.3372,0.1313,0.2375,0.0,1.805,0.02,75.0,0.1505,0.0,0.0932,0.0,3.789,0.01,201.0,0.3592,0.1171,0.1893,0.0
205,3.367,0.03,133.0,0.2302,0.0145,0.1295,0.0,1.052,0.0,66.0,0.4479,0.1474,0.2812,0.0,1.323,0.04,53.0,0.1657,0.0,0.0884,0.0,1.257,0.0,83.0,0.434,0.181,0.2547,0.0
206,2.044,0.0,85.0,0.1579,0.0,0.0977,0.0,1.584,0.0,86.0,0.4419,0.1484,0.2636,0.0,1.715,0.0,69.0,0.1714,0.0082,0.098,0.0,1.371,0.0,77.0,0.4337,0.1457,0.2731,0.0
207,1.737,0.0,77.0,0.1708,0.0072,0.0783,0.0,1.763,0.0,110.0,0.4452,0.0844,0.2129,0.0,2.262,0.0,84.0,0.1806,0.0,0.0903,0.0,3.287,0.0,232.0,0.5826,0.1659,0.2706,0.0
208,1.968,0.0,52.0,0.1569,0.0,0.098,0.0,3.038,0.0,84.0,0.3879,0.1217,0.2414,0.0,0.735,0.05,2.0,0.0134,0.0,0.0134,0.0,1.615,0.02,84.0,0.4034,0.1385,0.2146,0.0
209,1.995,1.96,71.0,0.1544,0.0141,0.0982,0.0,1.796,0.04,79.0,0.3368,0.0707,0.1825,0.0,1.986,0.02,74.0,0.1123,0.0141,0.0842,0.0,1.674,0.01,96.0,0.3389,0.1003,0.2193,0.0
210,0.965,0.06,35.0,0.1327,0.0,0.0918,0.0,1.399,0.04,64.0,0.3408,0.1267,0.2511,0.0,2.354,0.04,83.0,0.2047,0.0159,0.1181,0.0,1.977,0.02,106.0,0.3895,0.0981,0.2247,0.0
211,1.669,0.04,63.0,0.1717,0.0,0.0909,0.0,34.975,0.5,2016.0,0.0902,0.0274,0.052,0.0,1.497,0.01,59.0,0.1158,0.0,0.0842,0.0,1.685,0.02,69.0,0.3627,0.1386,0.2353,0.0
212,1.196,0.02,53.0,0.1418,0.0071,0.0922,0.0,1.632,0.0,82.0,0.3648,0.1646,0.2138,0.0,2.014,0.02,77.0,0.1338,0.0,0.0828,0.0,1.559,0.0,73.0,0.4217,0.1994,0.2748,0.0
213,1.617,0.0,66.0,0.141,0.0,0.0833,0.0,1.319,0.0,69.0,0.3387,0.1222,0.1789,0.0,1.837,0.0,68.0,0.1486,0.0187,0.0743,0.0,1.951,0.0,99.0,0.3256,0.0877,0.1686,0.0
214,9.622,0.0,416.0,0.2561,0.0259,0.1242,0.0,1.702,0.04,117.0,0.3388,0.0898,0.1929,0.0,0.983,0.04,32.0,0.0706,0.0059,0.0529,0.0,1.435,0.04,74.0,0.2572,0.0739,0.147,0.0
215,6.557,0.05,287.0,0.2815,0.0112,0.1185,0.0,1.437,0.03,84.0,0.3689,0.1368,0.2136,0.0,1.869,0.0,66.0,0.1739,0.0067,0.1003,0.0,1.371,0.04,79.0,0.3553,0.1523,0.2368,0.0
216,19.89,0.16,962.0,0.1504,0.0199,0.1008,0.0,1.291,0.0,75.0,0.2943,0.1293,0.2113,0.0,3.785,0.0,140.0,0.2407,0.0,0.1375,0.0,2.199,0.02,112.0,0.264,0.0399,0.1386,0.0
217,3.953,0.0,175.0,0.1682,0.0181,0.1021,0.0,1.674,0.0,90.0,0.3826,0.1404,0.2435,0.0,4.819,0.0,216.0,0.1799,0.0106,0.1058,0.0,2.94,0.0,186.0,0.4337,0.1152,0.1747,0.0
218,3.805,0.0,160.0,0.2143,0.006,0.119,0.0,1.567,0.0,103.0,0.4275,0.1615,0.2595,0.0,0.892,0.1,29.0,0.0856,0.0,0.0749,0.0,1.652,0.0,108.0,0.3895,0.0679,0.1648,0.0
219,1.251,0.01,41.0,0.1184,0.0,0.0789,0.0,1.349,0.0,87.0,0.4063,0.0947,0.2708,0.0,3.388,0.0,146.0,0.2205,0.0153,0.1369,0.0,1.187,0.0,56.0,0.3457,0.075,0.2099,0.0
220,1.986,0.0,71.0,0.1781,0.0,0.0891,0.0,1.379,0.0,85.0,0.3465,0.0952,0.1496,0.0,1.065,0.0,28.0,0.1128,0.0,0.0615,0.0,1.305,0.03,83.0,0.4331,0.1508,0.2756,0.0
221,0.87,0.02,25.0,0.0719,0.0,0.0432,0.0,2.505,0.0,180.0,0.4615,0.1549,0.214,0.0,1.45,0.0,51.0,0.1916,0.0242,0.1078,0.0,2.606,0.0,196.0,0.4984,0.0965,0.2173,0.0
222,4.375,0.0,180.0,0.1914,0.0066,0.1254,0.0,1.56,0.04,78.0,0.306,0.0663,0.1858,0.0,0.978,0.0,35.0,0.1439,0.0146,0.1007,0.0,1.478,0.0,96.0,0.3781,0.0905,0.1592,0.0
223,3.772,0.35,153.0,0.2211,0.0159,0.1263,0.0,1.663,0.0,106.0,0.4423,0.2,0.2628,0.0,6.09,0.0,232.0,0.2076,0.0128,0.1144,0.0,1.574,0.01,99.0,0.3355,0.0861,0.1579,0.0
224,2.912,0.04,125.0,0.1667,0.0,0.1111,0.0,1.065,0.0,65.0,0.3288,0.1014,0.2374,0.0,1.835,0.02,81.0,0.1469,0.0,0.1143,0.0,38.355,0.17,2854.0,0.0868,0.0152,0.0523,0.0
225,2.933,0.02,123.0,0.2063,0.0,0.1076,0.0,2.01,0.0,101.0,0.4632,0.1383,0.2211,0.0,1.201,0.0,43.0,0.2105,0.0153,0.1504,0.0,1.667,0.0,116.0,0.4926,0.1194,0.2463,0.0
226,2.433,0.01,92.0,0.1922,0.0287,0.1068,0.0,1.642,0.0,99.0,0.3709,0.0659,0.1964,0.0,0.961,0.0,31.0,0.1058,0.0194,0.0673,0.0,1.859,0.0,133.0,0.4466,0.0912,0.2071,0.0
227,7.739,0.0,353.0,0.2301,0.0213,0.1168,0.0,1.609,0.0,113.0,0.3813,0.0943,0.1472,0.0,5.039,0.0,226.0,0.2746,0.0184,0.119,0.0,1.622,0.0,111.0,0.4242,0.1288,0.1886,0.0
228,2.295,0.0,77.0,0.1634,0.0078,0.0856,0.0,2.857,0.0,204.0,0.5523,0.2049,0.2413,0.0,2.571,0.0,108.0,0.1924,0.0138,0.1031,0.0,1.359,0.0,88.0,0.3636,0.0876,0.1818,0.0
229,3.779,0.0,159.0,0.2475,0.0135,0.1137,0.0,1.764,0.0,79.0,0.3824,0.0594,0.1569,0.0,0.91,0.0,22.0,0.1589,0.0,0.0662,0.0,2.002,0.0,121.0,0.4634,0.1066,0.2358,0.0
230,1.111,0.0,24.0,0.0377,0.0,0.0302,0.0,3.091,0.0,88.0,0.4012,0.1024,0.1856,0.0,8.768,0.1,386.0,0.2067,0.0061,0.1003,0.0,2.162,0.0,128.0,0.385,0.0699,0.1551,0.0
231,1.418,0.05,55.0,0.1379,0.0077,0.092,0.0,1.568,0.01,88.0,0.3878,0.137,0.2381,0.0,4.664,0.03,213.0,0.2342,0.0235,0.1311,0.0,1.381,0.0,73.0,0.446,0.1884,0.3741,0.0
232,13.037,0.1,612.0,0.1064,0.0109,0.0737,0.0,1.156,0.03,69.0,0.3791,0.0265,0.1699,0.0,2.273,0.07,90.0,0.3027,0.0,0.1297,0.0,2.424,0.02,161.0,0.332,0.0653,0.1457,0.0
233,1.704,0.02,52.0,0.1004,0.0078,0.0849,0.0,2.087,0.01,140.0,0.3526,0.0814,0.1792,0.0,2.512,0.02,95.0,0.1806,0.0065,0.0968,0.0,1.811,0.01,113.0,0.3038,0.0701,0.1392,0.0
234,1.301,0.0,42.0,0.1628,0.0,0.093,0.0,0.998,0.0,56.0,0.427,0.1591,0.2472,0.0,3.466,0.0,135.0,0.1745,0.0,0.0945,0.0,0.874,0.0,49.0,0.4094,0.1302,0.2339,0.0
235,6.9,0.0,314.0,0.1749,0.009,0.0897,0.0,6.353,0.02,156.0,0.24,0.0372,0.1046,0.0,6.788,0.0,280.0,0.1809,0.0147,0.0929,0.0,1.974,0.0,113.0,0.2831,0.0184,0.1461,0.0
236,2.686,0.0,98.0,0.1818,0.0102,0.101,0.0,2.284,0.0,162.0,0.4506,0.1036,0.2213,0.0,1.873,0.0,84.0,0.2222,0.0,0.1333,0.0,1.149,0.0,70.0,0.3418,0.0897,0.2405,0.0
237,2.097,0.0,52.0,0.1515,0.0,0.101,0.0,1.939,0.05,73.0,0.4528,0.181,0.2642,0.0,1.719,0.02,70.0,0.1792,0.0286,0.1132,0.0,1.501,0.01,90.0,0.4912,0.177,0.2632,0.0
238,4.613,0.05,191.0,0.0252,0.0,0.0252,0.0,1.133,0.03,68.0,0.3059,0.1928,0.2118,0.0,1.87,0.06,71.0,0.0638,0.0,0.0638,0.0,1.152,0.01,75.0,0.1538,0.0899,0.1319,0.0
239,2.841,0.01,120.0,0.1689,0.0106,0.095,0.0,0.845,0.02,45.0,0.2222,0.0909,0.1389,0.0,3.725,0.04,155.0,0.2394,0.0283,0.108,0.0,2.092,0.02,141.0,0.342,0.0677,0.1865,0.0
240,6.025,0.0,273.0,0.2166,0.0213,0.1146,0.0,0.91,0.0,52.0,0.2557,0.0737,0.1918,0.0,0.849,0.0,27.0,0.1026,0.0,0.0923,0.0,1.459,0.0,94.0,0.3817,0.1462,0.2443,0.0
241,2.431,0.0,94.0,0.2044,0.0,0.1168,0.0,1.527,0.0,82.0,0.3636,0.0916,0.2045,0.0,3.071,0.0,108.0,0.1902,0.0066,0.1246,0.0,2.459,0.0,161.0,0.3871,0.1062,0.2053,0.0
242,2.452,0.07,101.0,0.2369,0.014,0.1045,0.0,1.207,0.01,79.0,0.3984,0.0472,0.1562,0.0,5.021,0.03,238.0,0.195,0.0182,0.0998,0.0,1.692,0.0,122.0,0.4733,0.1141,0.2533,0.0
243,1.423,0.0,54.0,0.1486,0.0,0.1029,0.0,1.479,0.0,89.0,0.3412,0.0957,0.1706,0.0,8.607,0.0,383.0,0.1444,0.0074,0.0852,0.0,1.668,0.0,104.0,0.3767,0.0543,0.1794,0.0
244,2.606,0.0,108.0,0.2064,0.0143,0.1352,0.0,0.929,0.0,52.0,0.4,0.1221,0.2605,0.0,7.615,0.0,314.0,0.1527,0.0115,0.1069,0.0,1.39,0.0,91.0,0.4062,0.1181,0.2109,0.0
245,2.265,0.0,85.0,0.1709,0.0086,0.1111,0.0,1.911,0.0,63.0,0.2609,0.0683,0.2126,0.0,6.51,0.73,301.0,0.1822,0.0085,0.1102,0.0,2.033,0.03,102.0,0.3171,0.082,0.1707,0.0
246,0.962,0.16,23.0,0.0717,0.0,0.0538,0.0,1.95,0.02,94.0,0.3288,0.0483,0.1849,0.0,3.461,0.06,136.0,0.1989,0.0114,0.125,0.0,1.453,0.02,83.0,0.3546,0.1,0.1773,0.0
247,4.357,0.07,183.0,0.2148,0.0103,0.1279,0.0,1.889,0.03,117.0,0.4459,0.1056,0.223,0.0,2.623,0.09,114.0,0.1935,0.0065,0.1161,0.0,1.047,0.02,53.0,0.314,0.1,0.2066,0.0
248,1.016,0.01,37.0,0.2247,0.0,0.1124,0.0,1.5,0.01,99.0,0.3137,0.0265,0.1699,0.0,3.411,0.0,165.0,0.1316,0.0,0.0965,0.0,1.665,0.0,124.0,0.3164,0.08,0.1921,0.0
249,2.138,0.0,73.0,0.162,0.0063,0.1059,0.0,1.324,0.0,76.0,0.3614,0.1066,0.1931,0.0,9.098,0.0,411.0,0.2151,0.0087,0.1105,0.0,1.772,0.0,117.0,0.3601,0.0724,0.1662,0.0
250,5.726,0.0,214.0,0.1737,0.0181,0.0898,0.0,1.401,0.0,83.0,0.4162,0.0351,0.1965,0.0,2.286,0.06,91.0,0.2577,0.0,0.1237,0.0,1.289,0.04,87.0,0.3864,0.0805,0.1818,0.0
251,2.326,0.04,93.0,0.1498,0.0197,0.0977,0.0,2.003,0.0,140.0,0.4598,0.1329,0.2011,0.0,1.558,0.04,64.0,0.1679,0.0221,0.1095,0.0,1.664,0.0,120.0,0.4246,0.13,0.2523,0.0
252,0.836,0.06,20.0,0.0538,0.0,0.043,0.0,1.496,0.04,97.0,0.3864,0.1298,0.1894,0.0,4.044,0.02,172.0,0.1854,0.0169,0.1011,0.0,1.975,0.0,122.0,0.3836,0.0828,0.1849,0.0
253,2.953,0.0,125.0,0.2116,0.0137,0.1092,0.0,1.217,0.0,67.0,0.3982,0.137,0.2805,0.0,1.242,0.0,56.0,0.1776,0.0,0.1121,0.0,1.371,0.0,82.0,0.3729,0.0684,0.2373,0.0
254,1.279,0.0,57.0,0.0973,0.0,0.0708,0.0,1.297,0.0,63.0,0.2857,0.0961,0.1732,0.0,7.951,0.21,357.0,0.1877,0.0109,0.1083,0.0,1.761,0.0,73.0,0.3621,0.083,0.2058,0.0
255,5.163,0.0,202.0,0.2785,0.0153,0.1418,0.0,2.345,0.0,123.0,0.4326,0.1429,0.1773,0.0,4.909,0.06,198.0,0.2375,0.0053,0.1214,0.0,2.319,0.02,162.0,0.4611,0.1066,0.2056,0.0
256,26.088,0.14,1329.0,0.0835,0.0091,0.0535,0.0,6.188,0.04,396.0,0.289,0.0928,0.1618,0.0,2.588,0.0,96.0,0.2364,0.0092,0.1455,0.0,1.595,0.0,73.0,0.3261,0.0549,0.163,0.0
257,5.049,0.0,226.0,0.2364,0.0156,0.1163,0.0,1.103,0.0,64.0,0.2883,0.0617,0.1656,0.0,2.944,0.0,125.0,0.1859,0.0152,0.1005,0.0,1.78,0.0,108.0,0.3881,0.1138,0.2264,0.0
258,2.527,0.0,103.0,0.1869,0.0348,0.1246,0.0,2.201,0.0,141.0,0.4543,0.1587,0.265,0.0,1.918,0.0,74.0,0.2047,0.0238,0.1024,0.0,1.495,0.0,91.0,0.3446,0.1132,0.1873,0.0
259,1.545,0.0,58.0,0.1617,0.0258,0.1277,0.0,1.186,0.0,73.0,0.39,0.1339,0.2407,0.0,3.787,0.0,154.0,0.2442,0.0117,0.1221,0.0,3.296,0.0,177.0,0.3955,0.1008,0.2117,0.0
260,0.98,0.0,38.0,0.117,0.0,0.0957,0.0,1.549,0.0,92.0,0.3471,0.0667,0.1818,0.0,1.485,0.0,41.0,0.1146,0.0,0.0833,0.0,1.463,0.01,108.0,0.4803,0.1349,0.315,0.0
261,2.198,0.0,89.0,0.2176,0.0253,0.0921,0.0,1.642,0.0,95.0,0.325,0.0672,0.1833,0.0,2.542,0.0,104.0,0.2275,0.0158,0.1098,0.0,1.42,0.0,73.0,0.3791,0.0861,0.218,0.0
262,5.863,0.0,227.0,0.1662,0.0279,0.1053,0.0,1.463,0.37,87.0,0.3251,0.0697,0.1773,0.0,17.614,0.26,842.0,0.1087,0.0139,0.0672,0.0,2.247,0.13,122.0,0.318,0.0253,0.1172,0.0
263,15.921,0.37,730.0,0.0844,0.0114,0.0479,0.0,5.062,0.04,349.0,0.3094,0.1441,0.1704,0.0,2.504,0.21,102.0,0.1919,0.0102,0.1212,0.0,2.145,0.03,133.0,0.4474,0.1858,0.2632,0.0
264,0.868,0.05,21.0,0.0778,0.0,0.0556,0.0,1.015,0.0,47.0,0.3069,0.1,0.198,0.0,3.158,0.03,142.0,0.2532,0.0191,0.1203,0.0,1.848,0.03,102.0,0.4046,0.1,0.1832,0.0
265,4.355,0.02,198.0,0.2086,0.0185,0.1288,0.0,1.761,0.0,110.0,0.4141,0.16,0.2643,0.0,1.171,0.1,36.0,0.175,0.0,0.125,0.0,2.613,0.01,181.0,0.4067,0.1141,0.24,0.0
266,3.666,0.02,149.0,0.25,0.0063,0.1125,0.0,2.183,0.01,134.0,0.5253,0.1627,0.2222,0.0,3.935,0.0,175.0,0.2566,0.0235,0.1166,0.0,1.104,0.0,54.0,0.3714,0.0962,0.2095,0.0
267,1.19,0.0,47.0,0.1364,0.0092,0.1,0.0,1.742,0.0,110.0,0.383,0.1286,0.2199,0.0,2.106,0.0,83.0,0.1603,0.0,0.084,0.0,1.379,0.0,83.0,0.3451,0.0395,0.1569,0.0
268,1.937,0.0,74.0,0.1622,0.0078,0.0927,0.0,1.166,0.0,69.0,0.3083,0.1092,0.2,0.0,1.727,0.0,75.0,0.17,0.0,0.0972,0.0,2.217,0.22,156.0,0.4281,0.1046,0.2202,0.0
269,29.511,0.0,1407.0,0.0818,0.0061,0.05,0.0,2.246,0.02,156.0,0.4621,0.1111,0.2621,0.0,2.102,0.02,85.0,0.2353,0.0091,0.1448,0.0,1.325,0.02,79.0,0.4057,0.0762,0.2547,0.0
270,3.142,0.03,112.0,0.2006,0.0061,0.0973,0.0,1.383,0.0,81.0,0.4097,0.1818,0.2986,0.0,3.089,0.01,106.0,0.2086,0.0062,0.1104,0.0,1.391,0.0,91.0,0.2983,0.0683,0.1695,0.0
271,2.006,0.0,73.0,0.1769,0.0,0.1,0.0,2.514,0.0,167.0,0.4928,0.1399,0.2261,0.0,1.666,0.0,66.0,0.1928,0.0081,0.1044,0.0,1.391,0.0,87.0,0.3969,0.1,0.1832,0.0
272,1.374,0.0,49.0,0.1635,0.0127,0.1006,0.0,1.125,0.0,59.0,0.4337,0.0854,0.2289,0.0,12.718,0.0,536.0,0.1091,0.0118,0.0796,0.0,0.996,0.03,60.0,0.4578,0.122,0.2651,0.0
273,5.849,0.0,242.0,0.2217,0.0045,0.1153,0.0,1.117,0.01,63.0,0.3167,0.0504,0.1417,0.0,3.369,0.0,145.0,0.2433,0.0119,0.1306,0.0,1.185,0.0,62.0,0.2857,0.0508,0.1429,0.0
274,1.601,0.0,46.0,0.1261,0.0,0.0811,0.0,1.563,0.0,89.0,0.4844,0.1654,0.2656,0.0,4.755,0.0,203.0,0.2335,0.0153,0.1066,0.0,1.25,0.0,79.0,0.4545,0.175,0.2479,0.0
275,5.262,0.0,207.0,0.2159,0.0155,0.108,0.0,1.642,0.02,92.0,0.432,0.129,0.224,0.0,5.848,0.0,251.0,0.1903,0.0047,0.0974,0.0,1.735,0.0,106.0,0.4335,0.1303,0.1977,0.0
276,15.877,0.0,735.0,0.1284,0.0196,0.0914,0.0,1.024,0.0,59.0,0.3665,0.0952,0.1885,0.0,5.847,0.0,258.0,0.2621,0.0293,0.1262,0.0,1.698,0.03,86.0,0.3727,0.0734,0.1727,0.0
277,5.211,1.1,212.0,0.1889,0.0093,0.0829,0.0,1.302,0.04,75.0,0.3406,0.0876,0.1957,0.0,3.315,0.06,128.0,0.1797,0.0,0.0812,0.0,2.558,0.02,179.0,0.5271,0.0935,0.2016,0.0
278,4.69,0.19,200.0,0.1569,0.0113,0.1064,0.0,1.532,0.19,90.0,0.4267,0.0987,0.2044,0.0,4.549,0.04,186.0,0.1633,0.0,0.105,0.0,1.676,0.01,108.0,0.428,0.1411,0.2798,0.0
279,3.681,0.04,142.0,0.2045,0.01,0.0998,0.0,1.458,0.01,92.0,0.3284,0.1121,0.1642,0.0,1.429,0.02,53.0,0.1438,0.0066,0.085,0.0,1.257,0.0,84.0,0.3152,0.0915,0.1818,0.0
280,4.073,0.03,147.0,0.1538,0.0135,0.1204,0.0,1.219,0.0,73.0,0.1373,0.0099,0.098,0.0,2.864,0.0,121.0,0.209,0.0226,0.1269,0.0,1.659,0.0,107.0,0.1674,0.0253,0.1088,0.0
281,5.011,0.0,184.0,0.2216,0.0052,0.1186,0.0,1.576,0.0,68.0,0.3485,0.1088,0.2324,0.0,1.121,0.02,43.0,0.1121,0.0,0.0748,0.0,3.223,0.0,105.0,0.5663,0.2599,0.3297,0.0
282,2.087,0.0,28.0,0.0962,0.0097,0.0577,0.0,2.433,0.1,116.0,0.4356,0.1462,0.2046,0.0,0.996,0.1,23.0,0.0498,0.0,0.0299,0.0,1.835,0.33,123.0,0.4052,0.125,0.2222,0.0
283,9.48,0.16,409.0,0.1658,0.01,0.1028,0.0,28.946,0.2,1651.0,0.13,0.0301,0.0612,0.0,1.615,0.02,52.0,0.1415,0.0,0.1132,0.0,1.389,0.02,73.0,0.4474,0.1593,0.2719,0.0
284,2.102,0.02,69.0,0.1333,0.0096,0.0762,0.0,1.232,0.04,73.0,0.2762,0.0385,0.1333,0.0,4.201,0.08,182.0,0.2594,0.0174,0.1095,0.0,1.1,0.02,53.0,0.2246,0.0108,0.1176,0.0
285,1.099,0.01,26.0,0.0664,0.0084,0.0498,0.0,41.248,0.11,2361.0,0.1107,0.0205,0.0584,0.0,3.858,0.05,153.0,0.2653,0.0205,0.1224,0.0,2.051,0.04,125.0,0.4214,0.1731,0.2552,0.0
286,7.339,0.0,324.0,0.148,0.0085,0.0803,0.0,1.905,0.0,136.0,0.4961,0.1953,0.2868,0.0,2.262,0.0,88.0,0.2035,0.0089,0.0973,0.0,1.424,0.0,80.0,0.3842,0.0896,0.2069,0.0
287,2.351,0.0,93.0,0.1486,0.0116,0.1143,0.0,1.786,0.0,86.0,0.3625,0.1392,0.2625,0.0,10.431,0.0,448.0,0.0935,0.0108,0.0683,0.0,1.804,0.0,111.0,0.3607,0.1105,0.2077,0.0
288,4.519,0.0,178.0,0.2121,0.0061,0.1152,0.0,0.922,0.0,50.0,0.3895,0.117,0.2211,0.0,0.856,0.04,27.0,0.0964,0.0,0.0723,0.0,1.144,0.0,70.0,0.4245,0.2095,0.2736,0.0
289,1.611,0.0,55.0,0.1554,0.0,0.1036,0.0,1.683,0.0,91.0,0.4229,0.1067,0.2026,0.0,0.851,0.0,21.0,0.1006,0.0127,0.1006,0.0,1.922,0.04,131.0,0.5468,0.2113,0.2921,0.0
290,3.69,0.0,154.0,0.2091,0.0162,0.1233,0.0,1.468,0.0,88.0,0.3611,0.0839,0.1875,0.0,1.853,0.0,68.0,0.1434,0.0144,0.1147,0.0,1.652,0.0,96.0,0.2905,0.0476,0.1351,0.0
291,7.49,0.0,302.0,0.2268,0.0187,0.1301,0.0,1.877,0.0,119.0,0.3789,0.0687,0.2112,0.0,7.561,0.0,285.0,0.2453,0.0152,0.1208,0.0,2.019,0.04,123.0,0.4695,0.2086,0.2622,0.0
292,1.323,1.54,41.0,0.0963,0.0149,0.0593,0.0,1.493,0.05,86.0,0.2258,0.0455,0.129,0.0,7.746,0.32,330.0,0.2245,0.0104,0.1209,0.0,1.379,0.05,70.0,0.2508,0.0614,0.1424,0.0
293,7.285,0.09,277.0,0.2557,0.0207,0.1278,0.0,1.715,0.0,101.0,0.4296,0.1348,0.2394,0.0,7.43,0.06,316.0,0.2423,0.0077,0.1154,0.0,1.16,0.0,72.0,0.3984,0.1205,0.239,0.0
294,3.684,0.15,140.0,0.1941,0.0163,0.1132,0.0,1.633,0.01,108.0,0.3302,0.0831,0.1905,0.0,1.305,0.0,44.0,0.1036,0.0,0.0637,0.0,1.103,0.01,56.0,0.2443,0.0692,0.1603,0.0
295,8.169,0.09,353.0,0.2355,0.024,0.1195,0.0,1.305,0.0,90.0,0.3887,0.0783,0.2191,0.0,4.697,0.0,199.0,0.25,0.0145,0.1154,0.0,1.598,0.0,108.0,0.3762,0.0797,0.2112,0.0
296,1.321,0.02,43.0,0.1241,0.0,0.0966,0.0,1.746,0.0,102.0,0.2613,0.1015,0.1608,0.0,4.819,0.0,190.0,0.1661,0.0134,0.1063,0.0,1.112,0.0,65.0,0.3291,0.1282,0.2405,0.0
297,7.29,0.0,305.0,0.194,0.0075,0.1045,0.0,39.267,0.17,1980.0,0.1488,0.0401,0.0695,0.0,9.221,0.02,377.0,0.2112,0.0161,0.0992,0.0,2.349,0.0,155.0,0.4345,0.1232,0.195,0.0
298,5.594,0.05,256.0,0.2439,0.0223,0.1153,0.0,1.066,0.0,63.0,0.3684,0.1593,0.2807,0.0,13.21,0.0,576.0,0.1583,0.0126,0.0955,0.0,1.629,0.0,110.0,0.3723,0.0809,0.1971,0.0
299,3.328,0.02,143.0,0.2172,0.0,0.1199,0.0,5.762,0.0,429.0,0.2275,0.0258,0.1064,0.0,1.095,0.0,34.0,0.125,0.0,0.0833,0.0,1.062,0.0,55.0,0.4472,0.1761,0.2609,0.0
300,3.238,0.0,126.0,0.2069,0.0154,0.1073,0.0,1.798,0.0,126.0,0.5323,0.2764,0.3629,0.0,6.287,0.0,274.0,0.1758,0.0095,0.1045,0.0,2.685,0.0,187.0,0.5649,0.2353,0.3377,0.0
301,1.769,0.0,74.0,0.2123,0.0,0.1117,0.0,1.256,0.0,78.0,0.4,0.1618,0.2743,0.0,2.495,0.0,112.0,0.2172,0.0091,0.0995,0.0,1.588,0.0,103.0,0.3495,0.0686,0.2136,0.0
302,1.441,0.05,52.0,0.1128,0.0076,0.0827,0.0,1.002,0.0,60.0,0.3396,0.1141,0.1736,0.0,2.881,0.0,114.0,0.209,0.006,0.1373,0.0,1.019,0.0,54.0,0.2923,0.1163,0.1615,0.0
303,4.022,0.0,150.0,0.2328,0.018,0.1134,0.0,1.466,0.0,74.0,0.4096,0.1862,0.2169,0.0,5.987,0.05,254.0,0.1957,0.0175,0.1087,0.0,3.662,0.02,230.0,0.5073,0.1814,0.1951,0.0
304,3.206,0.04,122.0,0.188,0.0152,0.1128,0.0,1.126,0.0,64.0,0.2116,0.0214,0.1164,0.0,2.055,0.0,74.0,0.1379,0.01,0.0788,0.0,0.872,0.0,47.0,0.2442,0.0706,0.1395,0.0
305,2.539,0.0,93.0,0.2268,0.0104,0.1237,0.0,1.687,0.0,104.0,0.4061,0.1231,0.2741,0.0,7.693,0.03,339.0,0.1368,0.0043,0.1026,0.0,1.917,0.02,135.0,0.4367,0.1498,0.2445,0.0
306,2.661,0.0,98.0,0.1693,0.0,0.127,0.0,1.219,0.0,72.0,0.4444,0.0662,0.183,0.0,1.459,0.0,55.0,0.156,0.0144,0.1277,0.0,1.306,0.0,80.0,0.4224,0.0755,0.2112,0.0
307,7.197,0.02,310.0,0.2722,0.0328,0.1416,0.0,2.22,0.0,134.0,0.4682,0.1802,0.2254,0.0,4.828,0.02,201.0,0.2725,0.0093,0.1201,0.0,1.817,0.0,94.0,0.2736,0.0328,0.1498,0.0
308,6.265,0.0,250.0,0.2434,0.0163,0.1217,0.0,1.87,0.0,108.0,0.3889,0.0497,0.1667,0.0,15.645,0.0,666.0,0.1824,0.0194,0.1094,0.0,2.549,0.0,154.0,0.3441,0.0649,0.1505,0.0
309,3.449,0.0,117.0,0.2018,0.0,0.095,0.0,1.809,0.0,100.0,0.466,0.1824,0.246,0.0,10.208,0.0,390.0,0.2334,0.0127,0.1199,0.0,1.786,0.06,99.0,0.3779,0.1115,0.1759,0.0
310,7.288,1.67,303.0,0.238,0.0154,0.1152,0.0,1.615,0.04,89.0,0.3623,0.0803,0.1812,0.0,4.07,0.05,166.0,0.2259,0.0222,0.1157,0.0,1.176,0.03,63.0,0.2834,0.0735,0.17,0.0
