,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.397,0.0,105.0,0.4556,0.1323,0.2317,0.0,2.061,0.0,130.0,0.4842,0.1131,0.1825,0.0,1.286,0.0,77.0,0.4242,0.1223,0.1905,0.0,2.577,0.0,81.0,0.4444,0.0948,0.188,0.0
42,1.231,0.08,82.0,0.2982,0.1353,0.2222,0.0,1.745,0.0,91.0,0.2898,0.0286,0.1364,0.0,0.935,0.07,57.0,0.2524,0.0762,0.1893,0.0,1.604,0.04,101.0,0.3657,0.1114,0.2382,0.0
43,0.951,0.06,61.0,0.4262,0.15,0.1967,0.0,1.266,0.03,68.0,0.5344,0.2481,0.3969,0.0,2.186,0.04,120.0,0.4105,0.0745,0.1789,0.0,1.191,0.04,72.0,0.3259,0.0902,0.2074,0.0
44,1.4,0.03,92.0,0.4454,0.2026,0.2882,0.0,1.652,0.01,93.0,0.4329,0.1921,0.2857,0.0,1.429,0.07,92.0,0.513,0.1754,0.3217,0.0,53.526,0.11,3026.0,0.0588,0.0136,0.0394,0.0
45,0.991,0.02,62.0,0.3063,0.1182,0.1892,0.0,2.503,0.0,157.0,0.4548,0.1003,0.2243,0.0,1.383,0.0,95.0,0.3438,0.063,0.1953,0.0,1.442,0.01,94.0,0.3451,0.0791,0.1961,0.0
46,2.16,0.02,136.0,0.4438,0.1548,0.213,0.0,2.879,0.0,177.0,0.4908,0.1645,0.2375,0.0,1.256,0.02,71.0,0.4104,0.1729,0.2239,0.0,2.628,0.0,104.0,0.5149,0.2193,0.3366,0.0
47,2.329,0.0,108.0,0.5283,0.2,0.3302,0.0,1.969,0.0,87.0,0.4632,0.117,0.1789,0.0,1.198,0.12,67.0,0.5,0.0941,0.2791,0.0,1.798,0.03,107.0,0.4762,0.2019,0.2762,0.0
48,1.225,0.07,87.0,0.3522,0.1204,0.1528,0.0,2.113,0.36,131.0,0.4116,0.1691,0.2029,0.0,1.641,0.04,112.0,0.3232,0.0982,0.1707,0.0,1.47,0.05,98.0,0.345,0.1286,0.1981,0.0
49,1.701,0.04,105.0,0.4,0.1667,0.2696,0.0,2.568,0.03,159.0,0.3819,0.0629,0.1806,0.0,1.208,0.05,67.0,0.3684,0.0957,0.1684,0.0,1.771,0.04,87.0,0.3704,0.1121,0.1852,0.0
50,1.406,0.02,89.0,0.3707,0.1217,0.2414,0.0,1.89,0.0,125.0,0.3717,0.1049,0.2007,0.0,1.245,0.02,80.0,0.3153,0.0818,0.1802,0.0,1.589,0.01,101.0,0.377,0.1074,0.2295,0.0
51,1.265,0.08,87.0,0.4056,0.0915,0.2028,0.0,2.703,0.03,197.0,0.4873,0.1429,0.2234,0.0,1.213,0.04,87.0,0.4326,0.1786,0.2411,0.0,0.871,0.01,45.0,0.2259,0.0506,0.1255,0.0
52,1.275,0.02,69.0,0.531,0.2411,0.3805,0.0,1.255,0.0,65.0,0.422,0.1667,0.2661,0.0,1.187,0.03,66.0,0.4887,0.1735,0.2896,0.0,1.55,0.0,80.0,0.2957,0.0351,0.1565,0.0
53,1.332,0.0,61.0,0.4,0.1139,0.25,0.0,1.41,0.0,93.0,0.4433,0.1354,0.2474,0.0,1.132,0.0,81.0,0.4889,0.2135,0.3444,0.0,2.632,0.01,207.0,0.3613,0.0974,0.1613,0.0
54,1.345,0.18,103.0,0.4388,0.1649,0.2245,0.0,1.436,0.02,89.0,0.5297,0.2186,0.3459,0.0,0.934,0.03,72.0,0.4848,0.184,0.2545,0.0,1.065,0.02,69.0,0.4417,0.1615,0.2454,0.0
55,1.421,0.03,89.0,0.5205,0.2949,0.4018,0.0,1.59,0.0,95.0,0.4956,0.2589,0.3894,0.0,1.308,0.03,77.0,0.3883,0.1765,0.2233,0.0,1.148,0.0,59.0,0.381,0.1604,0.2751,0.0
56,0.862,0.0,51.0,0.3191,0.1075,0.2021,0.0,0.998,0.0,63.0,0.33,0.1111,0.17,0.0,1.098,0.0,73.0,0.3962,0.0857,0.1509,0.0,1.952,0.01,146.0,0.4808,0.1684,0.2578,0.0
57,0.891,0.0,52.0,0.2626,0.0881,0.1481,0.0,1.111,0.02,61.0,0.3052,0.1176,0.1688,0.0,1.147,0.05,77.0,0.3901,0.1433,0.2291,0.0,1.169,0.04,69.0,0.3429,0.1534,0.1905,0.0
58,1.331,0.01,84.0,0.4528,0.1656,0.239,0.0,0.936,0.0,53.0,0.416,0.1789,0.256,0.0,1.017,0.0,58.0,0.3788,0.1538,0.2424,0.0,2.098,0.0,71.0,0.375,0.1268,0.25,0.0
59,0.938,0.09,46.0,0.2033,0.066,0.1443,0.0,2.583,0.0,74.0,0.3193,0.1333,0.1747,0.0,2.498,0.09,168.0,0.4147,0.1343,0.2304,0.0,1.351,0.03,75.0,0.3224,0.1381,0.2388,0.0
60,0.892,0.05,45.0,0.3028,0.1124,0.1992,0.0,1.88,0.0,100.0,0.4295,0.1677,0.2692,0.0,1.123,0.05,57.0,0.3485,0.1221,0.2045,0.0,2.3,0.18,121.0,0.4685,0.1329,0.2102,0.0
61,1.012,0.21,63.0,0.4274,0.0696,0.2051,0.0,1.098,0.03,64.0,0.3559,0.069,0.1695,0.0,0.853,0.02,51.0,0.2476,0.0194,0.1143,0.0,1.842,0.02,110.0,0.2619,0.0,0.119,0.0
62,1.249,0.02,81.0,0.2448,0.0563,0.1469,0.0,1.536,0.01,103.0,0.3042,0.1107,0.1618,0.0,0.926,0.02,56.0,0.2912,0.1081,0.1686,0.0,1.225,0.0,73.0,0.2571,0.0719,0.1286,0.0
63,1.585,0.04,108.0,0.2985,0.0503,0.1393,0.0,1.069,0.02,72.0,0.325,0.0506,0.1625,0.0,0.866,0.0,61.0,0.2857,0.0,0.1361,0.0,1.908,0.0,138.0,0.3103,0.0348,0.1552,0.0
64,1.165,0.01,79.0,0.3486,0.0833,0.1927,0.0,1.647,0.0,109.0,0.4355,0.1138,0.2339,0.0,1.031,0.03,56.0,0.3265,0.1134,0.1735,0.0,2.697,0.03,191.0,0.4251,0.0783,0.1796,0.0
65,1.538,0.0,102.0,0.4149,0.1339,0.2324,0.0,3.031,0.0,179.0,0.4591,0.1709,0.195,0.0,1.285,0.0,71.0,0.2981,0.0583,0.1538,0.0,1.082,0.0,55.0,0.3282,0.1347,0.1846,0.0
66,1.368,0.0,94.0,0.3889,0.0841,0.2407,0.0,4.449,0.0,310.0,0.2915,0.0315,0.1704,0.0,1.382,0.0,98.0,0.4144,0.1455,0.2432,0.0,1.601,0.0,115.0,0.479,0.1102,0.2437,0.0
67,1.296,0.18,82.0,0.4249,0.1697,0.2491,0.0,2.899,0.04,194.0,0.5195,0.1619,0.2026,0.0,1.277,0.01,77.0,0.3852,0.1194,0.1852,0.0,1.736,0.0,114.0,0.4852,0.1188,0.2098,0.0
68,1.732,0.01,121.0,0.4978,0.1614,0.2578,0.0,1.508,0.0,92.0,0.5408,0.2371,0.3265,0.0,1.168,0.0,69.0,0.3765,0.0714,0.2353,0.0,1.512,0.0,69.0,0.5614,0.2485,0.3977,0.0
69,1.276,0.05,82.0,0.3791,0.1244,0.1991,0.0,1.089,0.01,63.0,0.356,0.0952,0.2199,0.0,1.086,0.02,73.0,0.3564,0.11,0.2079,0.0,1.838,0.02,135.0,0.4679,0.1065,0.1887,0.0
70,34.304,0.0,2277.0,0.0688,0.0262,0.0508,0.0,37.415,0.0,2240.0,0.0721,0.0199,0.0423,0.0,1.322,0.0,79.0,0.3487,0.1036,0.2154,0.0,1.378,0.0,79.0,0.3878,0.1237,0.2449,0.0
71,0.819,0.0,56.0,0.5,0.2772,0.3824,0.0,1.166,0.02,80.0,0.4279,0.2115,0.3406,0.0,0.932,0.01,77.0,0.4286,0.1351,0.2857,0.0,0.912,0.02,72.0,0.4907,0.1869,0.3056,0.0
72,1.236,0.02,88.0,0.3858,0.1026,0.203,0.0,1.226,0.0,82.0,0.3333,0.0421,0.1771,0.0,0.972,0.02,59.0,0.355,0.0958,0.213,0.0,1.289,0.0,78.0,0.3404,0.043,0.1702,0.0
73,0.838,0.0,44.0,0.2432,0.0884,0.1892,0.0,1.547,0.0,67.0,0.35,0.1321,0.2313,0.0,1.379,0.02,95.0,0.4553,0.1275,0.2536,0.0,5.574,0.06,404.0,0.5247,0.1504,0.2039,0.0
74,1.216,0.0,84.0,0.4747,0.1531,0.2222,0.0,1.19,0.02,47.0,0.4025,0.1529,0.239,0.0,1.116,0.0,81.0,0.4145,0.1675,0.2176,0.0,1.109,0.0,68.0,0.4111,0.1461,0.2667,0.0
75,1.739,0.06,113.0,0.5233,0.231,0.3226,0.0,1.405,0.0,82.0,0.3821,0.1393,0.2602,0.0,1.117,0.0,59.0,0.3153,0.0818,0.1802,0.0,39.615,6.24,2436.0,0.1083,0.0356,0.0625,0.0
76,1.142,0.0,77.0,0.3743,0.1297,0.2246,0.0,2.173,0.0,106.0,0.4128,0.1574,0.2294,0.0,2.675,0.0,128.0,0.4315,0.1757,0.2158,0.0,1.67,1.64,87.0,0.3819,0.1726,0.2111,0.0
77,2.108,1.73,135.0,0.2941,0.0222,0.1324,0.0,1.569,0.06,67.0,0.2255,0.0396,0.1078,0.0,1.277,0.02,89.0,0.3784,0.0636,0.1532,0.0,2.132,0.01,133.0,0.3284,0.0376,0.1343,0.0
78,1.712,0.05,105.0,0.4037,0.1477,0.2569,0.0,1.821,0.01,113.0,0.4491,0.1687,0.2695,0.0,1.644,0.05,116.0,0.406,0.1381,0.197,0.0,4.273,0.04,336.0,0.3055,0.062,0.1455,0.0
79,1.417,0.05,88.0,0.4466,0.1078,0.2233,0.0,1.746,0.0,80.0,0.3838,0.0408,0.2222,0.0,1.211,0.0,70.0,0.4194,0.0978,0.2366,0.0,1.359,0.0,76.0,0.3542,0.1053,0.2083,0.0
80,1.178,0.04,80.0,0.3981,0.1244,0.218,0.0,1.075,0.0,56.0,0.4541,0.1749,0.2703,0.0,1.473,0.0,97.0,0.4123,0.0885,0.1667,0.0,1.056,0.18,64.0,0.3854,0.1368,0.2083,0.0
81,1.229,0.03,56.0,0.5207,0.2395,0.3077,0.0,1.231,0.0,60.0,0.3647,0.119,0.2,0.0,1.206,0.04,63.0,0.375,0.0805,0.2045,0.0,1.611,0.01,100.0,0.455,0.0957,0.1706,0.0
82,1.308,0.0,75.0,0.4898,0.1753,0.2755,0.0,1.737,0.0,85.0,0.4712,0.1359,0.2115,0.0,1.018,0.0,67.0,0.3871,0.0978,0.2366,0.0,1.605,3.57,84.0,0.4251,0.0878,0.2222,0.0
